e,xsexf,xhsdip,xchld05,single,grd1720,grade16,grd1315,grade12,grde911,white,hisp,black,age,paid1,paid2,paid3,paid4,tcpp1,tcpp2,tcpp3,tcpp4,tcpp5,tcpp6,tcpp7,tcpp8,tcpp9,tcpp10,tcprn1,tcprn2,tcprn3,tcprn4,tcprn5,tcprn6,tcprn7,tcprn8,tcprn9,tcprn10,employ1,employ2,employ3,employ4,employ5,employ6,employ7,employ8,employ9,employ10,employ11,employ12,employ13,employ14,employ15,employ16,employ17,employ18,employ19,employ20,employ21,employ22,employ23,employ24,employ25,employ26,employ27,employ28,employ29,employ30,employ31,employ32,employ33,employ34,employ35,employ36,earn1,earn2,earn3,earn4,earn5,earn6,earn7,earn8,earn9,earn10,earn11,earn12,earn13,earn14,earn15,earn16,earn17,earn18,earn19,earn20,earn21,earn22,earn23,earn24,earn25,earn26,earn27,earn28,earn29,earn30,earn31,earn32,earn33,earn34,earn35,earn36,Y_employ,Y_earn,aid1,aid2,aid3,aid4,aid5,aid6,aid7,aid8,aid9,aid10,aid11,aid12,aid13,aid14,aid15,aid16,aid17,aid18,aid19,aid20,aid21,aid22,aid23,aid24,aid25,aid26,aid27,aid28,aid29,aid30,aid31,aid32,aid33,aid34,aid35,aid36
0,1,0,0,1,0,0,0,0,0,0,1,0,38,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0.0,2815.168701171875,3495.112060546875,2757.794189453125,3227.0,4899.54736328125,4210.85791015625,3433.793701171875,2740.212158203125,2623.74560546875,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,264.0449523925781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.95404052734375,0.0,1808.2509765625,2639.341552734375,2474.23583984375,2473.528564453125,2505.685302734375,2401.581787109375,2637.097900390625,2491.033447265625,2704.953369140625,2679.990478515625,2613.7451171875,2600.64599609375,1803.4686279296875,809.0167236328125,2025.0714111328125,2508.66064453125,3206.769775390625,0.5277777777777778,1132.2521252102322,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
1,1,1,0,1,0,0,1,0,0,1,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.50564575195312,889.6598510742188,0.0,1398.25,3202.453369140625,783.7249145507812,0.0,544.5706176757812,0.0,0.0,0.0,0.0,848.405517578125,0.0,0.0,0.0,1085.0155029296875,2761.05517578125,2985.595947265625,2858.0615234375,562.2219848632812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,501.73666805691187,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,1,0,0,0,1,0,1,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1417.4998779296875,326.5411071777344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,48.445582919650604,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,1,0,1,0,0,23,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3291.499755859375,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3262.84765625,5177.0185546875,6520.99169921875,5446.46630859375,5091.0966796875,6580.5537109375,5290.50244140625,5943.15283203125,5222.443359375,6114.1181640625,6045.5341796875,5732.6220703125,7820.22021484375,7274.1904296875,5007.58984375,5871.001953125,7857.05029296875,6619.00634765625,4276.78515625,3227.23046875,7746.9306640625,6342.42041015625,7685.046875,6261.02978515625,7728.35595703125,6455.93115234375,7494.560546875,6313.6220703125,0.7777777777777778,4733.564439561632,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,0,0,1,0,1,0,0,40,1,0,0,0,1,1,0,1,0,0,1,1,1,1,790.7058715820312,2991.800048828125,0.0,996.4081420898438,0.0,0.0,313.9650573730469,2910.040771484375,2703.67822265625,3119.306640625,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,722.95068359375,0.0,0.0,0.0,0.0,0.0,292.0723876953125,2392.5595703125,1413.3629150390625,2071.726806640625,2868.7412109375,1820.252685546875,0.0,662.1383666992188,1084.593505859375,1767.1253662109375,1989.96484375,2011.1162109375,1630.501708984375,1801.7718505859375,1854.0589599609375,1843.947998046875,845.1971435546875,36.31049728393555,162.9149627685547,0.0,1761.757080078125,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,806.4740209579468,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,1,0,0,0,1,0,0,0,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,1,0,0,0,0,1,0,0,0,29,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,1,1,0,1,0,0,0,1,0,0,0,0,39,0,0,0,0,1,1,1,1,1,1,1,1,1,0,2070.1123046875,1861.587158203125,2951.801025390625,2770.38232421875,2210.38232421875,2192.39990234375,1134.4827880859375,1635.0216064453125,196.99737548828125,0.0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1163.612060546875,536.0258178710938,606.510986328125,1043.199951171875,1003.4868774414062,1855.786865234375,2362.976806640625,1945.375,1950.6500244140625,1655.0526123046875,1555.4259033203125,0.0,0.0,0.0,0.0,0.0,258.4613037109375,324.16705322265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3611111111111111,451.68697950575086,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,0,0,0,1,1,0,0,19,0,0,1,1,1,1,1,0,0,0,0,0,0,0,753.4046630859375,2303.811767578125,846.4297485351562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,461.61859130859375,0.0,1363.278564453125,0.05555555555555555,50.691587660047745,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1
1,1,1,0,1,0,0,0,1,0,1,0,0,31,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0.0,0.0,0.0,724.14208984375,1742.7796630859375,3340.90625,4430.88720703125,5440.1220703125,4755.0546875,4667.630859375,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2541.4326171875,2551.121826171875,2714.892578125,2992.066650390625,1796.8748779296875,0.0,4321.48095703125,2329.203369140625,2312.152099609375,0.0,0.0,0.0,0.0,0.0,0.0,1825.2427978515625,217.75799560546875,1299.0084228515625,3085.177001953125,1403.469482421875,2064.795166015625,1081.1507568359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4166666666666667,903.772961086697,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
