config,label,N,method,theta_true,iterations,bias,rmse,coverage,ci_length
linear_truncated_logistic,Linear DGP + truncated logistic,500,Oracle,-2.0,500,0.0228,0.2449,0.932,0.8772
linear_truncated_logistic,Linear DGP + truncated logistic,500,Bradic,-2.0,500,0.0558,0.4342,0.938,1.2254
linear_truncated_logistic,Linear DGP + truncated logistic,500,LASSO-LASSO,-2.0,500,0.0225,0.2293,0.928,0.8153
linear_truncated_logistic,Linear DGP + truncated logistic,500,RF-RF,-2.0,500,0.0191,0.2395,0.86,0.7097
linear_truncated_logistic,Linear DGP + truncated logistic,500,Net-Net,-2.0,500,-0.2441,0.3387,0.734,0.801
linear_truncated_logistic,Linear DGP + truncated logistic,1000,Oracle,-2.0,500,0.0,0.162,0.942,0.6227
linear_truncated_logistic,Linear DGP + truncated logistic,1000,Bradic,-2.0,500,0.011,0.2477,0.946,0.8284
linear_truncated_logistic,Linear DGP + truncated logistic,1000,LASSO-LASSO,-2.0,500,-0.0028,0.1492,0.938,0.5641
linear_truncated_logistic,Linear DGP + truncated logistic,1000,RF-RF,-2.0,500,0.0007,0.1569,0.9,0.5067
linear_truncated_logistic,Linear DGP + truncated logistic,1000,Net-Net,-2.0,500,-0.0419,0.1807,0.914,0.6323
linear_truncated_logistic,Linear DGP + truncated logistic,2000,Oracle,-2.0,500,0.0051,0.1104,0.97,0.4412
linear_truncated_logistic,Linear DGP + truncated logistic,2000,Bradic,-2.0,500,-0.0,0.2262,0.978,0.6417
linear_truncated_logistic,Linear DGP + truncated logistic,2000,LASSO-LASSO,-2.0,500,0.0081,0.0996,0.958,0.3968
linear_truncated_logistic,Linear DGP + truncated logistic,2000,RF-RF,-2.0,500,0.0088,0.1095,0.91,0.3641
linear_truncated_logistic,Linear DGP + truncated logistic,2000,Net-Net,-2.0,500,0.0059,0.1516,0.962,0.5632
nonlinear_truncated_adv,Nonlinear DGP + truncated adversarial,500,Oracle,6.5745,500,-0.0126,0.3994,0.946,1.4997
nonlinear_truncated_adv,Nonlinear DGP + truncated adversarial,500,Bradic,6.5745,500,-20.5428,422.1542,0.912,88.9784
nonlinear_truncated_adv,Nonlinear DGP + truncated adversarial,500,LASSO-LASSO,6.5745,500,0.5258,0.5936,0.516,1.0807
nonlinear_truncated_adv,Nonlinear DGP + truncated adversarial,500,RF-RF,6.5745,500,0.2556,0.6807,0.796,1.6909
nonlinear_truncated_adv,Nonlinear DGP + truncated adversarial,500,Net-Net,6.5745,500,0.6172,0.6877,0.402,1.0822
nonlinear_truncated_adv,Nonlinear DGP + truncated adversarial,1000,Oracle,6.5745,500,-0.0117,0.2775,0.942,1.0674
nonlinear_truncated_adv,Nonlinear DGP + truncated adversarial,1000,Bradic,6.5745,500,-1.3849,10.8611,0.926,11.7836
nonlinear_truncated_adv,Nonlinear DGP + truncated adversarial,1000,LASSO-LASSO,6.5745,500,0.5229,0.5579,0.234,0.7621
nonlinear_truncated_adv,Nonlinear DGP + truncated adversarial,1000,RF-RF,6.5745,500,0.1178,2.4103,0.846,2.5272
nonlinear_truncated_adv,Nonlinear DGP + truncated adversarial,1000,Net-Net,6.5745,500,0.2924,0.4367,0.676,1.0371
nonlinear_truncated_adv,Nonlinear DGP + truncated adversarial,2000,Oracle,6.5745,500,-0.02,0.1887,0.95,0.756
nonlinear_truncated_adv,Nonlinear DGP + truncated adversarial,2000,Bradic,6.5745,500,-0.495,3.045,0.954,6.3703
nonlinear_truncated_adv,Nonlinear DGP + truncated adversarial,2000,LASSO-LASSO,6.5745,500,0.5275,0.5438,0.02,0.5381
nonlinear_truncated_adv,Nonlinear DGP + truncated adversarial,2000,RF-RF,6.5745,500,0.176,4.6506,0.934,4.1097
nonlinear_truncated_adv,Nonlinear DGP + truncated adversarial,2000,Net-Net,6.5745,500,0.1064,0.3097,0.864,1.0524
linear_truncated_adv,Linear DGP + truncated adversarial,500,Oracle,-2.0,500,0.0059,0.3709,0.95,1.3028
linear_truncated_adv,Linear DGP + truncated adversarial,500,Bradic,-2.0,500,-3.5558,106.4324,0.982,48.5122
linear_truncated_adv,Linear DGP + truncated adversarial,500,LASSO-LASSO,-2.0,500,0.0001,0.2557,0.928,0.9204
linear_truncated_adv,Linear DGP + truncated adversarial,500,RF-RF,-2.0,500,0.0088,0.2713,0.812,0.7003
linear_truncated_adv,Linear DGP + truncated adversarial,500,Net-Net,-2.0,500,-0.375,0.4609,0.658,0.9793
linear_truncated_adv,Linear DGP + truncated adversarial,1000,Oracle,-2.0,500,-0.0041,0.2592,0.96,0.9684
linear_truncated_adv,Linear DGP + truncated adversarial,1000,Bradic,-2.0,500,3.125,103.0483,0.986,50.9556
linear_truncated_adv,Linear DGP + truncated adversarial,1000,LASSO-LASSO,-2.0,500,-0.0017,0.169,0.938,0.6365
linear_truncated_adv,Linear DGP + truncated adversarial,1000,RF-RF,-2.0,500,-0.0018,0.1859,0.822,0.5091
linear_truncated_adv,Linear DGP + truncated adversarial,1000,Net-Net,-2.0,500,-0.0871,0.2364,0.902,0.8074
linear_truncated_adv,Linear DGP + truncated adversarial,2000,Oracle,-2.0,500,0.0059,0.1788,0.952,0.696
linear_truncated_adv,Linear DGP + truncated adversarial,2000,Bradic,-2.0,500,-4.1649,62.3015,0.992,37.8932
linear_truncated_adv,Linear DGP + truncated adversarial,2000,LASSO-LASSO,-2.0,500,0.006,0.1137,0.952,0.4477
linear_truncated_adv,Linear DGP + truncated adversarial,2000,RF-RF,-2.0,500,-0.0095,0.3386,0.832,0.4011
linear_truncated_adv,Linear DGP + truncated adversarial,2000,Net-Net,-2.0,500,0.0386,0.2938,0.938,0.9467
linear_logistic,Linear DGP + logistic,500,Oracle,-2.0,500,0.0128,0.4234,0.948,1.1934
