t,Naive,Regression,Weighted,Double Robust
1,122.4256800043292,41.7654,29.638715539900204,31.007
2,217.53516402240726,131.052,150.67778882619382,150.438
3,260.5714791723698,154.4634,186.7785020509209,187.459
4,284.3988536583322,172.6902,225.07319742261654,225.149
5,306.47934051633615,209.5868,253.3576212160781,254.372
6,327.1450780595393,238.8451,279.65445160133015,280.572
7,333.9363893726399,231.9501,277.5039231495157,278.754
8,341.68815852311565,244.6689,298.46081719521544,299.534
9,352.2441226554603,265.7924,321.787802626544,323.73
10,355.9663561600441,259.6832,313.7814417606579,315.538
11,356.4513514935967,259.3007,313.03053760451326,314.805
12,353.88375088792105,249.1002,306.77727843674586,308.566
13,348.46011777974167,238.3936,300.34142224464836,301.873
14,348.2598506601061,254.5346,317.187291338764,319.062
15,345.7382965207844,250.3249,314.6973265279157,316.616
16,342.9795136708359,247.9807,315.2510033891267,317.23
17,342.1556316948493,255.2014,325.39547647784536,327.139
18,340.18044641060254,252.2692,320.12946891254273,321.765
19,338.60708809134303,258.7111,321.593495241729,323.226
20,335.79287604532357,253.5023,314.4023435495757,316.082
21,332.96969475326944,253.144,308.41033027392973,309.802
22,330.7999175536409,257.4647,311.4293727890008,312.971
23,329.0141292924612,260.1559,312.36723496283423,314.144
24,322.1790753683869,241.0372,298.34385396077676,300.831
25,317.7072957536809,243.5684,300.46399399666234,303.196
26,311.24816660412546,232.5256,292.966217288984,296.372
27,303.9027921084476,220.795,285.9944215234565,289.716
28,296.6889328584407,221.057,284.43150136020836,287.737
29,291.7069211642217,224.8029,289.3436951294109,292.405
30,286.5121434529146,224.2858,289.8661896233973,292.992
31,280.3213629434448,220.1486,282.9843114006113,285.984
32,274.47477026012024,219.3121,283.4894898128283,286.594
33,268.12728333378567,215.1497,277.9287496444281,281.261
34,261.72395401563705,212.4033,278.08290487737656,281.267
35,255.68917908873675,211.6322,276.7887259826482,279.706
36,249.05442973983696,210.8719,276.62208260170394,279.634
