earn1,earn2,earn3,earn4,earn5,earn6,aid1,aid2,aid3,aid4,aid5,aid6,xsexf,xhsdip,xchld05,single,grd1720,grade16,grd1315,grade12,grde911,white,hisp,black,age,paid1,paid2,paid3,paid4,tcpp1,tcpp2,tcpp3,tcpp4,tcpp5,tcpp6,tcpp7,tcpp8,tcpp9,tcpp10,tcprn1,tcprn2,tcprn3,tcprn4,tcprn5,tcprn6,tcprn7,tcprn8,tcprn9,tcprn10
0,1209.919921875,2156.400390625,3439.6435546875,1876.7132568359375,2535.625,1,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,28,0,1,1,1,0,1,0,1,1,1,1,1,0,1,0,251.60430908203125,0,247.8000030517578,309.14654541015625,1927.244384765625,460.1398620605469,4325.5791015625,0,3029.24365234375
0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,60,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1331.3961181640625,1023.134033203125,135,1223.496337890625,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,31,1,0,0,0,1,1,1,1,1,1,1,1,1,0,3460.080810546875,5748.0302734375,6068.5869140625,6036.7353515625,5201,4486.87939453125,4989.16796875,5234.0908203125,3991.05224609375,0
0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6180.564453125,5594.29833984375,4864.48291015625,2772.471923828125,0,1,1,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,38,0,0,0,0,1,1,1,1,1,1,1,1,1,1,869.4000244140625,6594.18115234375,6628.46630859375,7800.80859375,5308.79736328125,5822.35693359375,251.8161163330078,7109.33935546875,6572.447265625,6467.12255859375
0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,33,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,31,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
870.88232421875,0,0,251.42721557617188,94.066009521484375,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,41,0,0,0,0,1,1,1,1,1,1,1,1,0,0,3087,3360.9052734375,5336.984375,5442.591796875,4815.73388671875,4083.019775390625,1031.1051025390625,773.76483154296875,0,0
0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,59,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,27,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1915.3902587890625,30.10063934326172
0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
